x=187.00; y=161.00
x=134.00; y=320.00
x=560.00; y=150.00
x=454.00; y=273.00
x=774.00; y=14.00
x=600.00; y=350.00
x=150.00; y=500.00
x=333.00; y=503.00
x=583.00; y=442.00
x=700.00; y=200.00
x=200.00; y=100.00
x=400.00; y=50.00
x=650.00; y=100.00
x=750.00; y=300.00
x=56.00; y=418.00
x=325.00; y=221.00
x=150.00; y=200.00
x=478.00; y=413.00
x=493.00; y=558.00
x=13.00; y=562.00
x=250.00; y=550.00
x=785.00; y=566.00
x=100.00; y=100.00
x=550.00; y=50.00
x=324.00; y=419.00
x=190.00; y=416.00
x=20.00; y=19.00
x=650.00; y=400.00
x=357.00; y=331.00
x=50.00; y=200.00
x=300.00; y=100.00
x=750.00; y=150.00
